name,email,registration_number,status,faculty_mail,faculty_name
devshalin,dev.219301509@muj.manipal.edu,219301509,registered,devagrawal28@gmail.com,dev agra
deagrawal,devagrawaltp@gmail.com,219301510,pending,_mail_,_name_
qwer,devagrawaltp1@gmail.com,219301511,pending,_mail_,_name_
qwere,devagrawaltp2@gmail.com,219301512,pending,_mail_,_name_
qwerty,devagrawaltp3@gmail.com,219301513,pending,_mail_,_name_
qwertyu,devagrawaltp4@gmail.com,219301514,pending,_mail_,_name_
ertyui,devagrawaltp5@gmail.com,219301515,pending,_mail_,_name_
edr,devagrawaltp6@gmail.com,219301516,pending,_mail_,_name_
ghnbh,devagrawaltp7@gmail.com,219301517,pending,_mail_,_name_
cedx,devagrawaltp8@gmail.com,219301518,pending,_mail_,_name_
xed2,devagrawaltp9@gmail.com,219301519,pending,_mail_,_name_
x2ed,devagrawaltp10@gmail.com,219301520,pending,_mail_,_name_
x2ed,devagrawaltp11@gmail.com,219301521,pending,_mail_,_name_
x2ed,devagrawaltp12@gmail.com,219301522,pending,_mail_,_name_
2x3,devagrawaltp13@gmail.com,219301523,pending,_mail_,_name_
wsxedcfr,devagrawaltp14@gmail.com,219301524,pending,_mail_,_name_
fcetgrbhy,devagrawaltp15@gmail.com,219301525,pending,_mail_,_name_
rgbhy,devagrawaltp16@gmail.com,219301526,pending,_mail_,_name_
vtgrbhy,devagrawaltp17@gmail.com,219301527,pending,_mail_,_name_
